deg,Nan_last,Max_last,Nan_full,Max_full
214.5,0.00815863,0.0651278,0.0352986,0.0586295
215,0.0108011,0.0645777,0.0391123,0.0604662
215.5,0.0137139,0.0622076,0.0423614,0.0613525
216,0.0162725,0.0606666,0.0451009,0.0615814
216.5,0.0200413,0.0597423,0.0495956,0.0640895
217,0.0211913,0.0573932,0.0516467,0.0630428
217.5,0.0253612,0.0578819,0.0569057,0.0668582
218,0.0276394,0.0545115,0.0587867,0.0650966
218.5,0.0319921,0.0555839,0.0639763,0.0688433
219,0.0343632,0.0528975,0.0665226,0.068411
219.5,0.0381226,0.0534091,0.071421,0.0710199
220,0.041183,0.051624,0.0745826,0.0720687
220.5,0.0442721,0.0512436,0.0784545,0.073053
221,0.0483276,0.0507446,0.0830309,0.0757602
221.5,0.0508249,0.0498881,0.0860914,0.0754108
222,0.0553196,0.0506846,0.0918283,0.0794762
222.5,0.0580068,0.0489684,0.0945362,0.0783548
223,0.0630655,0.050774,0.099964,0.0822921
223.5,0.0657513,0.048623,0.103318,0.0818668
224,0.0699497,0.0502,0.1086,0.0850025
224.5,0.0734498,0.0493973,0.112454,0.0858958
225,0.0772345,0.0502888,0.117091,0.0877484
225.5,0.0818202,0.0505314,0.122124,0.0900026
226,0.0847654,0.0504837,0.125914,0.0901029
226.5,0.0895208,0.0523503,0.131918,0.0939081
227,0.0927563,0.0511739,0.135636,0.0932409
227.5,0.0982424,0.0539096,0.141753,0.0974733
228,0.101382,0.0530633,0.145582,0.0974335
228.5,0.106319,0.0557758,0.151501,0.101027
229,0.110168,0.055375,0.155768,0.101489
229.5,0.114605,0.0571115,0.161265,0.104316
230,0.119308,0.0582868,0.166876,0.106792
230.5,0.122926,0.0591954,0.171259,0.107198
231,0.128317,0.0615248,0.177395,0.111286
231.5,0.132023,0.0616913,0.181786,0.111741
232,0.137688,0.0650806,0.188045,0.116268
232.5,0.141395,0.0648176,0.192642,0.116066
233,0.146918,0.0684203,0.199004,0.120577
233.5,0.151446,0.0688112,0.20378,0.121632
234,0.156092,0.0718481,0.209624,0.124796
234.5,0.160817,0.0733563,0.215059,0.127509
235,0.165597,0.0753079,0.2204,0.129322
235.5,0.171243,0.0785806,0.226576,0.13304
236,0.175449,0.0794561,0.231536,0.134296
236.5,0.181418,0.083565,0.23867,0.139323
237,0.185777,0.0842842,0.243202,0.139843
237.5,0.191299,0.0887515,0.249881,0.145036
238,0.196423,0.0894608,0.255275,0.14627
238.5,0.201623,0.093637,0.261392,0.15053
239,0.20708,0.0956369,0.267325,0.153336
239.5,0.212093,0.0987827,0.27286,0.156266
240,0.218058,0.102359,0.27963,0.160593
240.5,0.222757,0.104316,0.284682,0.162525
241,0.228985,0.109152,0.291843,0.167838
241.5,0.233606,0.110389,0.297101,0.169485
242,0.240058,0.115952,0.304033,0.17529
242.5,0.244919,0.117254,0.30953,0.177204
243,0.250861,0.12237,0.316177,0.182249
243.5,0.256484,0.124605,0.322373,0.185266
244,0.261844,0.128814,0.327937,0.189044
244.5,0.268377,0.132485,0.33468,0.193525
245,0.273085,0.135501,0.340468,0.196369
245.5,0.27973,0.140812,0.347641,0.201843
246,0.28451,0.142718,0.352982,0.204024
246.5,0.291276,0.148432,0.359959,0.209856
247,0.296403,0.150579,0.365789,0.212177
247.5,0.302663,0.156468,0.372522,0.218082
248,0.30837,0.158714,0.378619,0.220861
248.5,0.313864,0.16378,0.384842,0.225586
249,0.320237,0.167993,0.391605,0.229912
249.5,0.325247,0.171388,0.39714,0.233342
250,0.331679,0.17683,0.404593,0.239111
250.5,0.336883,0.179181,0.409578,0.241585
251,0.343056,0.185411,0.4171,0.24772
251.5,0.348528,0.187734,0.422465,0.250379
252,0.354276,0.194009,0.42908,0.25604
252.5,0.360302,0.196878,0.435176,0.259576
253,0.365337,0.202229,0.44101,0.264684
253.5,0.371488,0.206249,0.447633,0.269155
254,0.376161,0.210614,0.453188,0.272602
254.5,0.38268,0.216162,0.45991,0.278436
255,0.38711,0.21919,0.464885,0.281314
255.5,0.393253,0.225146,0.471763,0.287783
256,0.398053,0.228225,0.476582,0.290548
256.5,0.403805,0.234273,0.483046,0.296692
257,0.408959,0.237744,0.488436,0.299889
257.5,0.41378,0.243149,0.494012,0.305457
258,0.419638,0.247519,0.500275,0.309973
258.5,0.423615,0.251869,0.504771,0.314045
259,0.429641,0.25735,0.511021,0.319457
259.5,0.433721,0.26087,0.515536,0.323129
260,0.439125,0.26681,0.521656,0.329424
260.5,0.443311,0.270181,0.52624,0.33241
261,0.448516,0.276251,0.531816,0.338772
261.5,0.452917,0.279614,0.536534,0.342482
262,0.457155,0.285331,0.541553,0.347978
262.5,0.462511,0.289664,0.546783,0.352904
263,0.465913,0.29406,0.551045,0.35733
263.5,0.471043,0.299317,0.556407,0.362829
264,0.474138,0.303121,0.560083,0.366874
264.5,0.47926,0.309224,0.565383,0.372912
265,0.482616,0.312404,0.569025,0.376539
265.5,0.486932,0.318131,0.574189,0.383332
266,0.490519,0.321783,0.578038,0.38683
266.5,0.494252,0.3275,0.582499,0.392579
267,0.49883,0.331377,0.587155,0.397676
267.5,0.501198,0.336,0.590253,0.402551
268,0.505881,0.341347,0.595317,0.40848
268.5,0.50819,0.345022,0.598177,0.412364
269,0.512191,0.35056,0.603249,0.418953
269.5,0.514807,0.354197,0.606055,0.423075
270,0.518252,0.359882,0.610631,0.429292
270.5,0.521081,0.363557,0.613807,0.433633
271,0.523745,0.369078,0.617468,0.439758
271.5,0.527162,0.373527,0.621602,0.444775
272,0.528901,0.377997,0.624048,0.449815
272.5,0.532489,0.383305,0.628704,0.456164
273,0.533926,0.38751,0.630876,0.460445
273.5,0.537089,0.393271,0.635295,0.466752
274,0.538583,0.396884,0.637406,0.471181
274.5,0.541279,0.402764,0.64125,0.477592
275,0.542983,0.406928,0.643609,0.482207
275.5,0.544817,0.412749,0.646634,0.488508
276,0.547369,0.417194,0.649591,0.49366
276.5,0.548134,0.422134,0.651735,0.498919
277,0.551032,0.427663,0.655375,0.505786
277.5,0.551382,0.431877,0.656465,0.51025
278,0.553953,0.437433,0.660043,0.517349
278.5,0.554377,0.441658,0.661162,0.521964
279,0.556609,0.447599,0.66413,0.529143
279.5,0.557399,0.451846,0.66552,0.534049
280,0.558762,0.45748,0.667381,0.540697
280.5,0.56026,0.462095,0.669662,0.546279
281,0.560614,0.466961,0.670675,0.552225
281.5,0.562781,0.472203,0.672979,0.558855
282,0.562443,0.476425,0.673046,0.564151
282.5,0.564472,0.482259,0.675312,0.571399
283,0.564194,0.486123,0.675472,0.576388
283.5,0.565767,0.491968,0.677332,0.583148
284,0.565811,0.495842,0.677494,0.588604
284.5,0.566506,0.501328,0.677967,0.594936
